ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:52:00,server_1,13.2,98.09,67.42,79.36,9.52
20:52:00,server_20,85.82,10.15,823.13,1150.26,0.0
20:52:00,server_19,37.07,39.97,384.4,403.8,78.15
20:52:00,server_18,52.91,59.83,1568.7,1330.96,1053.41
20:52:00,server_17,47.08,56.87,1859.94,2059.1,642.04
20:52:00,server_16,40.05,69.83,1142.16,1073.73,1579.95
20:52:00,server_14,25.76,25.55,286.73,159.25,0.0
20:52:00,server_13,20.94,19.3,249.68,314.13,0.0
20:52:00,server_12,41.85,51.66,1224.85,1447.56,1921.78
20:52:00,server_11,51.58,56.52,438.89,395.83,56.86
20:52:00,server_15,58.84,58.11,2212.13,2465.14,1571.91
20:52:00,server_9,45.79,42.61,403.48,308.09,12.24
20:52:00,server_8,59.8,54.49,1214.28,1226.29,1971.69
20:52:00,server_7,81.41,2.78,809.58,477.55,0.0
20:52:00,server_6,66.94,71.52,679.32,662.54,58.82
20:52:00,server_5,21.79,26.71,245.64,193.46,110.15
20:52:00,server_4,65.47,62.91,1559.2,1520.94,1850.31
20:52:00,server_3,3.4,97.82,69.97,98.62,0.0
20:52:00,server_2,56.72,50.02,3185.66,3232.41,1118.45
20:52:00,server_10,63.93,53.39,14033.57,15950.3,90.92
20:52:05,server_13,87.89,82.63,884.18,969.83,133.77
20:52:05,server_14,54.8,47.52,9762.8,8576.13,20.41
20:52:05,server_15,53.07,53.02,550.76,471.89,88.7
20:52:05,server_16,52.72,30.01,11768.39,12498.15,163.37
20:52:05,server_20,89.95,17.99,894.56,526.8,87.75
20:52:05,server_18,63.64,84.98,593.49,684.63,78.13
20:52:05,server_19,24.25,39.52,285.83,368.04,44.91
20:52:05,server_12,47.59,46.78,2108.87,1734.66,541.18
20:52:05,server_17,60.84,45.42,9918.3,10577.44,94.2
20:52:05,server_11,54.65,47.61,8622.65,10078.85,188.12
20:52:05,server_5,29.29,88.85,254.03,282.3,0.0
20:52:05,server_9,36.28,44.79,153.79,121.61,6887.99
20:52:05,server_10,62.73,33.53,7665.99,8897.11,133.76
20:52:05,server_2,80.97,8.53,886.73,1150.74,0.0
20:52:05,server_3,23.75,40.79,14.19,17.08,9953.74
20:52:05,server_4,56.47,53.23,571.26,386.8,39.64
20:52:05,server_1,31.7,26.24,324.56,290.27,47.43
20:52:05,server_6,95.13,3.43,993.82,993.92,115.79
20:52:05,server_7,38.22,44.18,189.7,153.5,3808.28
20:52:05,server_8,41.96,46.97,384.75,569.37,3.05
20:52:10,server_20,24.14,88.22,291.94,200.86,122.81
20:52:10,server_19,22.55,43.76,102.13,86.97,7463.11
20:52:10,server_18,94.87,91.6,1025.02,1523.74,120.71
20:52:10,server_17,55.58,78.54,462.1,234.9,67.94
20:52:10,server_16,65.7,67.3,680.17,602.27,16.39
20:52:10,server_14,93.62,83.2,986.01,1247.57,130.98
20:52:10,server_13,49.11,59.32,569.47,731.39,2.52
20:52:10,server_12,52.95,48.87,538.62,674.3,86.07
20:52:10,server_11,52.86,64.8,582.57,730.62,40.28
20:52:10,server_15,40.08,55.51,382.31,465.59,0.0
20:52:10,server_9,41.55,56.64,4359.74,4360.76,946.52
20:52:10,server_2,87.09,91.24,876.77,467.77,106.91
20:52:10,server_3,68.75,75.5,698.22,591.38,61.81
20:52:10,server_4,59.93,46.67,5941.19,4849.38,175.41
20:52:10,server_5,59.53,80.06,640.3,735.59,153.03
20:52:10,server_1,3.94,81.5,0.0,0.0,41.56
20:52:10,server_6,44.86,66.09,400.83,374.4,78.57
20:52:10,server_7,54.07,49.32,550.04,683.08,191.27
20:52:10,server_8,67.14,51.39,726.03,928.66,75.01
20:52:10,server_10,40.64,52.16,316.8,339.82,52.3
20:52:15,server_12,50.14,61.29,1287.02,1047.15,1501.1
20:52:15,server_19,47.5,44.64,47.28,38.89,3550.21
20:52:15,server_18,96.36,3.56,930.89,1353.63,0.0
20:52:15,server_17,14.2,83.47,45.32,60.65,49.36
20:52:15,server_16,84.43,27.46,807.15,832.72,101.2
20:52:15,server_15,90.85,92.51,970.56,859.2,143.87
20:52:15,server_14,46.95,48.33,520.76,401.42,91.66
20:52:15,server_13,51.75,67.33,484.68,332.17,79.7
20:52:15,server_11,67.71,50.53,3664.37,4134.81,1656.2
20:52:15,server_20,14.61,81.79,34.81,21.09,52.17
20:52:15,server_9,45.69,59.99,2218.73,2051.14,1372.09
20:52:15,server_1,15.58,94.46,234.02,188.44,94.25
20:52:15,server_2,23.3,37.92,294.02,239.29,0.95
20:52:15,server_3,55.42,57.25,7092.39,6661.47,28.37
20:52:15,server_4,86.33,85.53,865.5,854.76,58.61
20:52:15,server_10,94.04,27.72,922.35,586.0,56.43
20:52:15,server_6,57.3,64.36,499.47,638.34,40.72
20:52:15,server_7,49.5,36.68,446.54,445.43,65.4
20:52:15,server_8,12.23,90.78,112.67,155.83,0.0
20:52:15,server_5,49.52,56.23,541.21,806.51,87.36
20:52:20,server_11,41.92,38.01,142.87,176.33,6946.13
20:52:20,server_19,65.92,69.08,2243.15,1975.15,1118.55
20:52:20,server_18,5.87,90.43,103.97,144.75,92.8
20:52:20,server_17,45.97,30.12,156.74,162.74,9135.25
20:52:20,server_16,53.46,70.29,519.94,753.46,42.6
20:52:20,server_15,33.84,45.32,330.07,242.0,0.0
20:52:20,server_14,62.33,65.28,4972.46,4543.31,607.07
20:52:20,server_13,32.36,45.7,287.51,274.23,0.0
20:52:20,server_12,68.87,32.0,18569.64,20788.31,134.74
20:52:20,server_20,90.79,98.89,868.82,473.44,141.02
20:52:20,server_10,43.04,76.64,355.58,343.89,0.0
20:52:20,server_8,90.76,88.84,944.42,534.99,60.6
20:52:20,server_7,11.86,98.35,109.5,153.47,47.93
20:52:20,server_6,59.87,48.01,588.76,468.25,29.32
20:52:20,server_5,61.6,65.37,3265.6,2834.88,1055.37
20:52:20,server_4,33.83,42.55,359.85,217.14,54.15
20:52:20,server_3,33.37,37.46,354.71,509.11,73.33
20:52:20,server_2,26.71,86.87,283.68,235.37,62.72
20:52:20,server_1,29.52,27.67,229.13,188.43,54.52
20:52:20,server_9,92.65,84.01,908.71,1275.88,88.92
20:52:25,server_13,11.23,93.71,71.21,88.6,87.0
20:52:25,server_14,23.01,34.87,200.22,233.64,0.0
20:52:25,server_16,21.42,30.27,200.33,133.0,60.89
20:52:25,server_12,38.26,34.33,121.1,127.26,3461.05
20:52:25,server_18,91.92,90.3,898.27,1026.97,143.08
20:52:25,server_19,34.65,32.47,412.11,387.26,20.18
20:52:25,server_20,61.74,67.84,649.46,735.84,24.5
20:52:25,server_17,95.42,15.19,966.38,1226.01,0.0
20:52:25,server_11,62.61,75.75,639.34,885.91,43.67
20:52:25,server_15,99.89,99.23,957.22,995.29,35.73
20:52:25,server_9,49.07,61.32,1001.06,986.24,1813.73
20:52:25,server_1,42.86,42.04,392.76,342.77,0.0
20:52:25,server_2,18.66,98.36,195.1,209.27,43.31
20:52:25,server_3,63.95,59.76,16443.03,15755.54,54.27
20:52:25,server_4,34.79,39.51,342.48,185.71,14.75
20:52:25,server_10,98.45,89.73,940.08,815.28,111.31
20:52:25,server_6,52.96,59.29,487.15,422.45,185.14
20:52:25,server_7,94.3,5.21,1020.31,1107.58,51.77
20:52:25,server_8,68.03,65.59,666.11,369.63,57.44
20:52:25,server_5,54.69,46.77,551.89,400.8,0.0
20:52:30,server_20,51.44,55.75,8551.73,9787.34,32.72
20:52:30,server_19,44.45,54.22,426.89,332.61,53.22
20:52:30,server_18,66.75,51.46,5005.78,5651.33,44.42
20:52:30,server_17,64.23,68.21,2582.44,2279.66,832.33
20:52:30,server_16,52.6,55.46,12214.52,11417.02,189.4
20:52:30,server_15,27.86,47.35,314.16,167.39,18.64
20:52:30,server_14,38.15,37.47,346.46,296.72,127.11
20:52:30,server_12,65.55,48.27,665.65,408.71,72.86
20:52:30,server_11,95.19,82.25,941.03,1117.34,91.25
20:52:30,server_13,55.46,53.22,551.83,444.66,83.75
20:52:30,server_9,82.76,12.1,836.72,1140.06,138.88
20:52:30,server_8,34.37,48.15,312.8,365.56,0.0
20:52:30,server_7,40.28,48.97,390.25,344.72,22.8
20:52:30,server_6,58.45,50.34,579.02,379.31,0.0
20:52:30,server_5,86.01,83.71,840.99,1129.38,1.88
20:52:30,server_4,8.78,88.22,0.0,0.0,36.77
20:52:30,server_3,44.29,52.91,398.98,595.69,54.33
20:52:30,server_2,14.69,80.64,166.89,199.28,106.0
20:52:30,server_10,43.22,42.12,178.75,123.45,9245.0
20:52:30,server_1,27.18,19.75,369.41,467.3,104.98
20:52:35,server_13,68.79,43.46,17326.51,15252.34,6.11
20:52:35,server_14,28.66,41.85,19.42,16.17,9034.07
20:52:35,server_15,59.41,55.38,7285.46,6278.67,40.79
20:52:35,server_16,27.12,33.16,325.34,238.76,133.86
20:52:35,server_20,56.4,61.71,550.69,348.01,14.35
20:52:35,server_18,31.44,49.24,417.97,529.94,0.0
20:52:35,server_19,24.51,82.68,285.28,229.96,44.87
20:52:35,server_12,52.53,81.9,440.97,411.07,108.69
20:52:35,server_17,30.2,28.84,107.68,144.05,4383.65
20:52:35,server_11,58.28,47.23,14624.41,12890.28,15.97
20:52:35,server_3,61.04,58.08,546.92,629.07,57.88
20:52:35,server_9,63.42,61.07,671.21,353.09,8.74
20:52:35,server_8,85.8,27.26,829.1,650.33,46.65
20:52:35,server_7,58.93,46.3,604.31,871.23,0.0
20:52:35,server_6,51.0,41.05,2806.1,2713.34,1658.96
20:52:35,server_5,3.91,97.05,0.0,0.0,44.88
20:52:35,server_4,82.02,26.36,889.61,826.2,37.17
20:52:35,server_2,71.56,41.63,11103.96,12729.9,153.71
20:52:35,server_1,38.71,50.99,437.71,438.24,39.69
20:52:35,server_10,71.7,52.71,17239.85,18019.28,70.35
20:52:40,server_12,82.33,22.12,823.0,605.16,0.0
20:52:40,server_13,34.63,38.51,406.53,246.8,18.88
20:52:40,server_14,43.63,47.39,411.5,214.85,0.0
20:52:40,server_15,55.22,47.47,6925.26,6966.17,129.82
20:52:40,server_19,57.2,45.77,9134.12,9550.52,0.45
20:52:40,server_17,66.22,64.87,1228.89,1295.14,1084.04
20:52:40,server_18,54.51,41.04,12654.18,13261.16,188.03
20:52:40,server_11,27.53,34.01,248.34,311.06,57.95
20:52:40,server_16,40.27,51.64,364.62,326.0,99.2
20:52:40,server_20,59.17,51.63,1509.02,1504.38,1502.86
20:52:40,server_10,44.78,42.87,403.23,598.9,0.0
20:52:40,server_8,33.33,23.7,72.44,66.26,6097.15
20:52:40,server_1,91.42,97.69,883.89,521.78,92.56
20:52:40,server_2,63.68,79.41,667.66,624.2,83.5
20:52:40,server_3,48.61,33.13,449.92,274.14,0.0
20:52:40,server_9,80.09,13.81,880.12,495.31,107.2
20:52:40,server_5,16.0,84.48,191.49,98.74,23.08
20:52:40,server_6,9.09,88.28,0.0,0.0,90.57
20:52:40,server_7,95.74,83.95,990.16,617.9,0.0
20:52:40,server_4,86.47,98.56,787.69,704.48,83.71
20:52:45,server_13,7.7,96.69,95.43,97.73,14.47
20:52:45,server_20,30.5,34.28,219.88,295.04,0.0
20:52:45,server_19,29.63,24.78,296.58,426.29,11.08
20:52:45,server_18,62.51,79.54,619.41,651.03,23.92
20:52:45,server_17,56.64,40.6,8595.43,7455.34,51.59
20:52:45,server_16,88.1,8.1,861.95,1174.86,42.99
20:52:45,server_15,27.41,34.9,263.36,293.39,0.0
20:52:45,server_14,22.93,88.85,247.04,170.39,34.4
20:52:45,server_12,88.91,89.84,934.57,1129.59,17.8
20:52:45,server_11,28.63,22.31,288.37,413.05,43.48
20:52:45,server_1,30.0,41.66,259.46,195.77,49.3
20:52:45,server_9,42.18,53.77,332.52,234.04,40.56
20:52:45,server_8,26.11,35.94,291.69,289.57,153.04
20:52:45,server_7,5.29,93.33,98.28,99.76,87.75
20:52:45,server_6,91.36,93.96,823.22,1029.15,85.97
20:52:45,server_5,85.75,89.93,867.16,879.66,137.21
20:52:45,server_4,49.31,53.96,418.89,385.53,8.45
20:52:45,server_3,49.08,37.67,522.05,739.15,66.6
20:52:45,server_2,59.11,63.89,630.05,515.0,37.52
20:52:45,server_10,42.37,44.27,363.96,246.13,65.41
20:52:50,server_13,36.43,33.51,367.28,456.98,53.35
20:52:50,server_14,41.03,35.94,497.05,502.03,28.27
20:52:50,server_15,88.36,9.16,919.93,897.04,24.61
20:52:50,server_16,64.5,79.78,613.42,636.77,19.66
20:52:50,server_12,94.85,24.77,965.6,1102.11,83.86
20:52:50,server_18,95.17,21.09,927.69,610.32,23.71
20:52:50,server_19,30.13,29.15,352.66,464.09,0.0
20:52:50,server_20,24.36,32.42,232.64,210.55,11.35
20:52:50,server_17,99.98,4.94,1005.85,654.82,53.86
20:52:50,server_11,50.83,57.86,572.97,520.25,0.0
20:52:50,server_1,47.57,64.83,4306.76,4695.0,803.63
20:52:50,server_9,63.74,82.99,695.11,811.22,59.31
20:52:50,server_8,23.73,35.09,10.46,6.4,9926.66
20:52:50,server_7,42.3,43.42,393.11,394.41,122.68
20:52:50,server_6,80.75,11.48,773.58,707.98,26.39
20:52:50,server_5,78.78,47.74,6538.59,6565.83,28.23
20:52:50,server_4,38.96,34.84,90.8,121.89,8131.75
20:52:50,server_3,44.63,53.01,488.05,506.6,110.99
20:52:50,server_2,89.55,3.33,856.61,676.11,50.45
20:52:50,server_10,67.79,84.05,629.68,454.12,85.31
20:52:55,server_13,10.58,94.15,126.42,148.05,6.38
20:52:55,server_14,33.89,58.25,321.76,462.04,50.94
20:52:55,server_15,65.76,42.42,1370.15,1468.55,559.46
20:52:55,server_16,90.29,85.78,799.36,1023.71,69.17
20:52:55,server_20,91.79,16.78,830.12,1126.05,23.29
20:52:55,server_18,8.34,81.05,55.31,57.35,33.43
20:52:55,server_19,51.46,64.24,523.26,335.33,54.3
20:52:55,server_12,66.85,56.45,3742.87,4416.37,1674.86
20:52:55,server_17,97.92,88.52,1011.68,819.99,0.0
20:52:55,server_11,99.03,96.06,915.8,995.14,44.42
20:52:55,server_5,26.58,29.03,315.62,213.56,70.89
20:52:55,server_9,47.19,46.15,2274.72,2151.81,1625.42
20:52:55,server_2,28.26,84.14,320.22,177.32,0.0
20:52:55,server_3,78.2,37.59,8162.0,7224.21,145.98
20:52:55,server_4,31.71,48.68,13.04,13.29,6478.57
20:52:55,server_1,36.11,31.61,18.62,26.42,9690.73
20:52:55,server_6,48.03,33.33,92.59,76.01,6424.63
20:52:55,server_7,50.02,53.02,4951.97,5916.48,1920.18
20:52:55,server_8,24.04,10.43,174.5,122.18,134.84
20:52:55,server_10,42.11,34.42,125.5,184.35,5235.93
20:53:00,server_12,66.97,49.99,7218.74,7515.86,83.34
20:53:00,server_19,35.89,35.46,339.98,507.26,84.66
20:53:00,server_18,97.2,93.88,1006.78,833.28,27.76
20:53:00,server_17,76.62,30.32,9665.38,9330.58,96.06
20:53:00,server_16,90.76,95.54,928.74,892.02,153.62
20:53:00,server_15,28.08,39.66,135.54,160.34,9167.57
20:53:00,server_14,97.7,96.33,1126.63,948.64,97.14
20:53:00,server_13,65.26,54.41,634.39,390.7,111.04
20:53:00,server_11,29.46,46.5,291.22,384.1,0.0
20:53:00,server_20,11.32,83.83,142.6,150.68,47.78
20:53:00,server_9,93.71,25.52,1076.38,1330.64,48.4
20:53:00,server_1,67.31,76.75,616.34,690.35,194.25
20:53:00,server_2,46.88,23.13,104.76,135.72,7425.9
20:53:00,server_3,94.83,82.29,927.93,937.01,142.86
20:53:00,server_4,69.45,66.21,731.19,442.39,20.19
20:53:00,server_10,44.61,43.0,35.04,51.7,4894.65
20:53:00,server_6,27.74,48.45,64.46,56.28,4119.77
20:53:00,server_7,55.41,49.04,612.2,549.88,122.27
20:53:00,server_8,67.27,42.77,3232.7,2601.17,612.85
20:53:00,server_5,74.47,31.65,15210.55,17968.63,102.32
20:53:05,server_11,20.59,31.67,69.77,37.54,9762.47
20:53:05,server_19,2.31,84.31,13.46,16.33,54.22
20:53:05,server_18,24.12,98.51,326.03,220.39,125.74
20:53:05,server_17,36.46,44.98,129.04,175.96,4339.75
20:53:05,server_16,53.41,38.59,14079.68,11558.37,139.63
20:53:05,server_15,44.26,47.03,2109.9,2330.62,1499.44
20:53:05,server_14,99.85,15.44,911.27,1064.85,110.15
20:53:05,server_13,36.43,44.42,340.54,507.54,0.0
20:53:05,server_12,94.86,84.31,875.57,1119.53,88.82
20:53:05,server_20,36.49,55.55,323.95,273.51,111.62
20:53:05,server_10,36.29,26.77,351.36,321.02,116.48
20:53:05,server_8,69.13,87.09,778.49,1099.88,67.25
20:53:05,server_7,24.68,32.41,188.89,270.0,133.1
20:53:05,server_6,59.85,45.9,8828.23,7423.84,90.74
20:53:05,server_5,89.28,27.1,848.82,500.52,42.76
20:53:05,server_4,52.55,46.1,3207.14,3344.1,1289.46
20:53:05,server_3,39.56,44.46,450.61,244.96,44.97
20:53:05,server_2,28.02,28.73,304.33,335.55,58.78
20:53:05,server_1,38.14,37.56,65.7,89.7,9456.51
20:53:05,server_9,52.9,42.33,529.66,685.97,92.15
20:53:10,server_14,91.72,97.05,904.05,807.97,139.91
20:53:10,server_15,28.78,34.19,191.98,265.96,14.21
20:53:10,server_16,46.05,64.97,490.55,687.79,133.23
20:53:10,server_13,82.88,0.47,774.48,715.29,61.77
20:53:10,server_18,62.11,65.2,577.12,462.93,73.19
20:53:10,server_19,49.65,40.11,1592.27,1646.11,1969.68
20:53:10,server_20,96.19,18.68,980.15,975.37,73.96
20:53:10,server_17,37.91,44.7,80.65,92.03,4473.04
20:53:10,server_12,49.58,54.4,2412.03,2546.64,730.17
20:53:10,server_11,92.49,87.03,955.96,979.94,85.47
20:53:10,server_1,94.45,9.32,946.62,475.11,0.0
20:53:10,server_9,38.88,28.93,380.48,537.66,87.55
20:53:10,server_8,26.13,39.36,264.3,207.33,72.46
